page,clicks,impressions,ctr,position,date_range
https://developerskit99.github.io/,1,1,100%,UNKNOWN,2026-06-18 to 2026-09-18
https://developerskit99.github.io/age-calculator/,0,2,0%,UNKNOWN,2026-06-18 to 2026-09-18
https://developerskit99.github.io/word-counter/,0,1,0%,UNKNOWN,2026-06-18 to 2026-09-18
https://developerskit99.github.io/percentage-calculator/,0,1,0%,UNKNOWN,2026-06-18 to 2026-09-18
https://developerskit99.github.io/json-formatter/,0,1,0%,UNKNOWN,2026-06-18 to 2026-09-18
